origin,dest,mon,tue,wed,thu,fri,sat,sun
BAQ,UIO,10.5,0.0,10.2,0.0,13.4,0.0,0.0
BOG,MDE,6.5,0.0,8.4,0.0,7.8,0.0,0.0
BOG,MIA,406.1,808.7,641.9,645.7,827.9,474.0,502.8
BOG,UIO,4.7,0.0,4.0,0.0,3.8,0.0,0.0
BOG,VCP,7.6,0.0,6.2,0.0,6.3,0.0,0.0
BRU,FRA,0.0,0.0,36.5,40.9,42.8,0.0,0.0
BRU,MIA,8.3,0.0,7.0,0.0,9.0,0.0,0.0
BRU,SCL,6.2,0.0,4.9,0.0,5.7,0.0,0.0
BRU,VCP,10.3,0.0,9.2,0.0,9.7,0.0,0.0
CLO,UIO,11.6,0.0,10.1,0.0,10.1,0.0,0.0
EZE,MIA,5.4,0.0,6.7,0.0,6.5,0.0,0.0
EZE,SCL,20.8,17.3,16.2,0.0,0.0,21.2,20.2
FRA,VCP,8.9,0.0,10.0,0.0,10.3,0.0,0.0
GRU,BOG,19.3,0.0,0.0,24.6,0.0,0.0,0.0
GRU,MAO,78.0,98.8,117.3,39.9,102.2,126.1,33.7
GUA,MIA,0.0,103.7,0.0,0.0,43.6,89.5,43.7
LAX,BOG,22.2,19.9,0.0,21.5,0.0,17.0,41.6
LAX,MIA,3.2,0.0,3.8,0.0,3.3,0.0,0.0
LIM,BOG,22.0,16.9,41.4,21.1,18.8,0.0,37.2
LIM,MIA,4.3,0.0,3.7,0.0,4.2,0.0,0.0
MAO,GRU,33.9,96.1,63.6,62.9,95.9,116.6,74.4
MDE,BOG,9.3,0.0,10.6,0.0,8.0,0.0,0.0
MDE,MIA,61.1,56.6,189.3,0.0,67.4,57.8,64.7
MIA,BOG,117.4,56.9,125.1,119.8,38.1,84.4,48.0
MIA,BRU,0.0,0.0,20.3,41.7,0.0,0.0,0.0
MIA,EZE,4.8,0.0,4.7,0.0,4.6,0.0,0.0
MIA,FRA,9.2,0.0,7.8,0.0,7.4,0.0,0.0
MIA,GIG,15.2,0.0,13.3,0.0,13.2,0.0,0.0
MIA,GRU,22.5,0.0,0.0,18.8,0.0,0.0,0.0
MIA,GUA,8.6,0.0,9.1,0.0,8.7,0.0,0.0
MIA,LAX,4.7,0.0,4.7,0.0,4.6,0.0,0.0
MIA,LIM,9.5,0.0,9.2,0.0,9.8,0.0,0.0
MIA,MDE,39.5,0.0,61.3,0.0,23.4,18.4,17.7
MIA,SCL,46.5,46.6,18.9,0.0,21.0,37.4,0.0
MIA,SDQ,22.5,39.2,20.6,21.7,0.0,0.0,0.0
MIA,SJO,24.3,21.4,0.0,0.0,18.6,40.9,18.8
MIA,UIO,173.0,77.5,54.0,47.8,120.9,183.8,60.3
MIA,VCP,111.4,59.9,64.0,92.5,114.9,66.3,0.0
MVD,BOG,5.5,0.0,7.0,0.0,7.2,0.0,0.0
SCL,BOG,9.7,0.0,9.2,0.0,8.9,0.0,0.0
SCL,LIM,31.8,19.9,18.2,18.7,16.8,0.0,39.1
SCL,MIA,0.0,75.4,48.0,42.5,50.4,84.7,49.2
SCL,VCP,3.1,0.0,3.9,0.0,3.1,0.0,0.0
SDQ,MIA,3.5,0.0,3.0,0.0,2.7,0.0,0.0
SDQ,UIO,20.8,19.2,38.4,20.8,0.0,0.0,0.0
SJO,GUA,23.8,21.9,0.0,0.0,19.8,41.8,21.6
SJO,MIA,10.0,0.0,9.1,0.0,9.2,0.0,0.0
UIO,BOG,2.8,0.0,2.7,0.0,2.1,0.0,0.0
UIO,LAX,5.4,0.0,5.3,0.0,5.8,0.0,0.0
UIO,MIA,266.2,235.1,401.9,168.2,361.9,446.8,322.3
UIO,VCP,5.9,0.0,5.5,0.0,6.2,0.0,0.0
VCP,BOG,20.6,109.5,23.4,75.6,109.3,55.1,22.9
VCP,EZE,43.4,0.0,22.9,0.0,0.0,43.4,0.0
VCP,LIM,7.6,0.0,6.3,0.0,7.7,0.0,0.0
VCP,MIA,3.5,0.0,3.1,0.0,3.0,0.0,0.0
VCP,SCL,0.0,0.0,0.0,21.2,48.1,0.0,0.0
VCP,UIO,2.9,0.0,3.0,0.0,2.5,0.0,0.0
