origin,dest,region,tons_week,tariff_usd_per_kg,min_weekly_freq
BAQ,UIO,NB,34.1,1.39,0
BOG,MDE,NB,22.7,1.33,0
BOG,MIA,NB,4307.1,1.37,6
BOG,UIO,NB,12.5,1.56,0
BOG,VCP,NB,20.2,1.37,0
BRU,FRA,EUR,120.2,4.49,1
BRU,MIA,EUR,24.4,4.22,0
BRU,SCL,EUR,16.8,3.62,0
BRU,VCP,EUR,29.2,3.85,0
CLO,UIO,NB,31.8,1.56,0
EZE,MIA,NB,18.5,1.55,0
EZE,SCL,NB,95.9,1.52,3
FRA,VCP,EUR,29.2,3.65,0
GRU,BOG,NB,43.9,1.32,0
GRU,MAO,DOM,596.1,1.26,6
GUA,MIA,NB,280.4,1.56,3
LAX,BOG,NAM,122.3,1.8,3
LAX,MIA,NAM,10.2,1.91,0
LIM,BOG,NB,157.3,1.57,4
LIM,MIA,NB,12.2,1.5,0
MAO,GRU,DOM,543.4,1.15,6
MDE,BOG,NB,27.8,1.52,0
MDE,MIA,NB,496.7,1.43,4
MIA,BOG,NAM,589.8,2.02,6
MIA,BRU,EUR,61.9,4.4,1
MIA,EZE,NAM,14.1,1.87,0
MIA,FRA,EUR,24.4,4.36,0
MIA,GIG,NAM,41.7,2.11,0
MIA,GRU,NAM,41.3,2.03,0
MIA,GUA,NAM,26.3,1.89,0
MIA,LAX,NAM,14.1,2.18,0
MIA,LIM,NAM,28.5,2.19,0
MIA,MDE,NAM,160.2,2.01,4
MIA,SCL,NAM,170.4,2.11,4
MIA,SDQ,NAM,104.1,1.82,3
MIA,SJO,NAM,123.9,2.14,3
MIA,UIO,NAM,717.3,1.83,6
MIA,VCP,NAM,509.0,1.92,6
MVD,BOG,NB,19.7,1.5,0
SCL,BOG,NB,27.7,1.44,0
SCL,LIM,NB,144.6,1.25,4
SCL,MIA,NB,350.3,1.34,4
SCL,VCP,NB,10.1,1.3,0
SDQ,MIA,NB,9.2,1.39,0
SDQ,UIO,NB,99.2,1.29,3
SJO,GUA,NB,128.9,1.27,3
SJO,MIA,NB,28.3,1.39,0
UIO,BOG,NB,7.5,1.37,0
UIO,LAX,NB,16.6,1.44,0
UIO,MIA,NB,2202.4,1.4,6
UIO,VCP,NB,17.6,1.33,0
VCP,BOG,NB,416.3,1.44,6
VCP,EZE,NB,109.7,1.48,3
VCP,LIM,NB,21.6,1.54,0
VCP,MIA,NB,9.5,1.46,0
VCP,SCL,NB,69.3,1.35,1
VCP,UIO,NB,8.4,1.45,0
