airport,AND,BRA,PAC,SUR
AGT,1,1,0,0
ANF,1,0,1,1
ASU,1,0,1,0
BAQ,1,1,0,1
BEL,1,1,1,1
BOG,1,1,1,1
BRU,1,1,0,1
BSB,1,1,1,0
CCS,1,1,1,0
CLO,1,1,1,0
CNF,1,1,1,1
CWB,0,1,0,1
EZE,1,1,1,1
FLN,0,1,0,1
FRA,1,1,0,0
GEO,0,1,0,1
GIG,1,1,1,1
GRU,1,1,0,1
GUA,1,0,0,1
GYE,1,1,1,1
LAX,1,0,1,1
LIM,1,0,1,0
MAD,0,1,0,1
MAO,1,1,1,1
MDE,1,1,1,1
MEX,0,0,0,1
MIA,1,1,1,1
MTY,1,1,0,0
MVD,0,1,1,1
NVT,1,1,0,1
POA,0,1,1,1
PTY,1,1,0,0
REC,0,1,1,1
SAL,0,0,1,1
SCL,1,0,0,1
SDQ,1,1,1,1
SEA,0,1,1,1
SID,0,1,0,1
SJK,0,1,1,1
SJO,1,1,1,1
UIO,1,1,1,1
VCP,1,1,1,1
VIX,0,1,0,1
ZAZ,1,1,1,1
