iata,country,region
AGT,Brasil,BRA
ANF,Chile,SAM
ASU,Paraguay,SAM
BAQ,Colombia,SAM
BEL,Brasil,SAM
BOG,Colombia,SAM
BRU,Bélgica,EUR
BSB,Brasil,SAM
CCS,Venezuela,SAM
CLO,Colombia,SAM
CNF,Brasil,BRA
CWB,Brasil,BRA
EZE,Argentina,SAM
FLN,Brasil,BRA
FRA,Alemania,EUR
GEO,Guyana,BRA
GIG,Brasil,BRA
GRU,Brasil,BRA
GUA,Guatemala,CEAM
GYE,Ecuador,SAM
LAX,Estados Unidos,NAM
LIM,Perú,SAM
MAD,España,EUR
MAO,Brasil,BRA
MDE,Colombia,SAM
MEX,México,NAM
MIA,Estados Unidos,NAM
MTY,México,NAM
MVD,Uruguay,SAM
NVT,Brasil,BRA
POA,Brasil,BRA
PTY,Panamá,SAM
REC,Brasil,BRA
SAL,El Salvador,SAM
SCL,Chile,SAM
SDQ,República Dominicana,CEAM
SEA,Estados Unidos,NAM
SID,Cabo Verde,EUR
SJK,Brasil,BRA
SJO,Costa Rica,CEAM
UIO,Ecuador,SAM
VCP,Brasil,BRA
VIX,Brasil,BRA
ZAZ,España,SAM
