origin,dest,block_hours,distance_km
AGT,ASU,0.75,338.0
AGT,NVT,1.5,900.0
AGT,SCL,3.0,2025.0
AGT,VCP,1.42,838.0
ANF,SCL,1.92,1212.0
ASU,BOG,5.33,3775.0
ASU,CNF,2.5,1650.0
ASU,LIM,3.92,2712.0
ASU,SCL,2.67,1775.0
ASU,SJK,2.03,1296.0
ASU,UIO,5.17,3650.0
ASU,VCP,1.67,1025.0
BAQ,UIO,2.08,1338.0
BEL,SID,5.67,4025.0
BOG,MIA,3.67,3500.0
BOG,MTY,5.33,3775.0
BOG,PTY,1.75,1665.0
BOG,UIO,1.67,3330.0
BRU,FRA,1.08,587.0
BRU,MAD,2.33,1525.0
BRU,SID,6.08,4338.0
BRU,ZAZ,2.17,1400.0
BSB,EZE,3.42,2338.0
CCS,BOG,1.92,1212.0
CCS,UIO,2.83,1900.0
CLO,UIO,1.25,712.0
CNF,BOG,6.17,4400.0
CNF,VCP,1.25,712.0
CWB,FLN,1.75,1088.0
CWB,SCL,3.75,2588.0
CWB,VCP,0.92,462.0
EZE,LIM,5.08,3588.0
EZE,SCL,2.17,2220.0
EZE,UIO,6.25,4462.0
FLN,BOG,6.33,4525.0
FLN,EZE,2.17,1400.0
FLN,GRU,1.33,775.0
FLN,SCL,3.67,2525.0
FLN,VCP,1.25,712.0
FRA,SID,6.42,4588.0
GEO,MAO,1.92,1212.0
GEO,UIO,3.42,2338.0
GIG,NVT,1.5,900.0
GIG,VCP,1.17,650.0
GRU,BOG,6.42,5435.0
GRU,MAO,3.83,2650.0
GRU,POA,1.83,1150.0
GRU,UIO,6.0,4275.0
GRU,VCP,0.67,74.0
GUA,MIA,2.5,2870.0
GUA,SJO,1.58,963.0
GYE,UIO,0.83,400.0
LAX,BOG,7.33,5275.0
LAX,MIA,5.25,4815.0
LAX,SEA,2.75,1838.0
LIM,BOG,3.08,3330.0
LIM,SCL,3.25,3330.0
LIM,UIO,2.33,1525.0
MAD,SID,4.67,3275.0
MAO,ASU,3.5,2400.0
MAO,BOG,2.83,1900.0
MAO,GRU,3.75,2588.0
MAO,UIO,3.25,2212.0
MDE,MIA,3.33,2990.0
MEX,MIA,3.08,4255.0
MIA,AGT,8.08,3885.0
MIA,ANF,7.29,6660.0
MIA,ASU,7.92,7400.0
MIA,BAQ,2.67,2500.0
MIA,BOG,3.5,3500.0
MIA,BRU,8.83,9620.0
MIA,CLO,3.58,962.0
MIA,CNF,8.17,5900.0
MIA,CWB,8.42,7775.0
MIA,EZE,9.0,10000.0
MIA,FLN,8.83,7960.0
MIA,GEO,4.42,4075.0
MIA,GIG,8.58,7960.0
MIA,GRU,8.5,9240.0
MIA,GUA,2.58,2870.0
MIA,GYE,5.0,4165.0
MIA,LIM,5.58,5180.0
MIA,MAO,5.17,4630.0
MIA,MDE,3.33,2990.0
MIA,MEX,3.58,4255.0
MIA,MVD,9.08,8335.0
MIA,NVT,8.58,5370.0
MIA,PTY,2.92,2500.0
MIA,SCL,8.33,9620.0
MIA,SDQ,2.25,2960.0
MIA,SJK,8.75,8145.0
MIA,SJO,2.83,2590.0
MIA,UIO,4.17,5330.0
MIA,VCP,8.33,9620.0
MIA,VIX,8.5,6150.0
MTY,BOG,5.33,3775.0
MVD,BOG,6.5,4650.0
MVD,EZE,0.92,462.0
MVD,SCL,2.58,1713.0
MVD,UIO,6.5,4650.0
MVD,VCP,2.33,1525.0
NVT,EZE,2.5,1650.0
NVT,VCP,1.17,650.0
POA,SAL,8.92,6462.0
PTY,LAX,6.42,4588.0
PTY,UIO,1.92,1212.0
REC,SID,4.25,2962.0
SAL,BOG,2.92,1962.0
SAL,MIA,2.75,1838.0
SCL,BOG,6.08,6660.0
SCL,EZE,1.92,2220.0
SCL,GRU,3.75,4165.0
SCL,LIM,3.75,3330.0
SCL,MDE,6.33,4525.0
SCL,MIA,8.67,9620.0
SCL,UIO,5.5,6100.0
SDQ,UIO,3.58,2463.0
SEA,MIA,6.0,5740.0
SID,BRU,5.92,4212.0
SID,BSB,6.0,4275.0
SID,CWB,7.75,5588.0
SID,EZE,9.5,6900.0
SID,FLN,7.75,5588.0
SID,MVD,9.25,6712.0
SID,SJK,6.5,4650.0
SID,VCP,6.5,4650.0
SJK,GRU,1.25,712.0
SJK,VCP,1.17,650.0
SJO,GUA,1.58,963.0
SJO,MIA,2.75,2590.0
UIO,BEL,5.0,3525.0
UIO,MIA,4.0,5330.0
UIO,PTY,2.08,1338.0
VCP,ASU,2.0,1275.0
VCP,BOG,5.92,6570.0
VCP,CCS,6.0,4275.0
VCP,CWB,1.0,525.0
VCP,EZE,2.83,1900.0
VCP,FLN,2.0,1275.0
VCP,GRU,0.67,74.0
VCP,LIM,5.08,3588.0
VCP,MAO,3.67,2525.0
VCP,MDE,5.83,4150.0
VCP,MVD,2.58,1713.0
VCP,POA,1.58,963.0
VCP,REC,3.0,2025.0
VCP,SCL,4.08,4535.0
VCP,SID,6.5,4650.0
VCP,UIO,5.92,6570.0
VIX,FLN,2.08,1338.0
ZAZ,SID,4.75,3338.0
