aircraft_id,airport,start_datetime,end_datetime
AC-01,MIA,2026-03-07T05:50:00,2026-03-07T17:50:00
AC-02,MIA,2026-03-04T11:20:00,2026-03-04T23:20:00
AC-03,MIA,2026-03-06T17:30:00,2026-03-07T01:30:00
AC-04,MIA,2026-03-03T21:05:00,2026-03-04T09:05:00
AC-05,MIA,2026-03-04T22:00:00,2026-03-05T10:00:00
AC-06,GRU,2026-03-05T08:50:00,2026-03-05T14:50:00
AC-07,MIA,2026-03-06T04:40:00,2026-03-06T10:40:00
AC-08,MIA,2026-03-03T17:50:00,2026-03-04T03:50:00
AC-09,MIA,2026-03-06T16:50:00,2026-03-06T22:50:00
AC-10,MIA,2026-03-04T11:50:00,2026-03-04T19:50:00
AC-11,MIA,2026-03-05T15:30:00,2026-03-05T23:30:00
AC-12,MIA,2026-03-05T04:30:00,2026-03-05T14:30:00
AC-13,MIA,2026-03-05T08:25:00,2026-03-05T14:25:00
AC-14,MIA,2026-03-05T06:30:00,2026-03-05T12:30:00
AC-15,MIA,2026-03-03T16:50:00,2026-03-03T22:50:00
AC-16,MIA,2026-03-07T09:00:00,2026-03-07T17:00:00
AC-17,MIA,2026-03-04T04:00:00,2026-03-04T16:00:00
AC-18,MIA,2026-03-05T10:15:00,2026-03-05T22:15:00
AC-19,MIA,2026-03-07T02:40:00,2026-03-07T10:40:00
