operator,country,allowed
AND,Alemania,1
AND,Argentina,1
AND,Brasil,1
AND,Bélgica,1
AND,Cabo Verde,1
AND,Chile,1
AND,Colombia,1
AND,Costa Rica,1
AND,Ecuador,1
AND,El Salvador,1
AND,España,1
AND,Estados Unidos,1
AND,Guatemala,1
AND,Guyana,0
AND,México,1
AND,Panamá,1
AND,Paraguay,1
AND,Perú,1
AND,República Dominicana,1
AND,Uruguay,1
AND,Venezuela,1
BRA,Alemania,1
BRA,Argentina,1
BRA,Brasil,1
BRA,Bélgica,1
BRA,Cabo Verde,1
BRA,Chile,1
BRA,Colombia,1
BRA,Costa Rica,1
BRA,Ecuador,1
BRA,El Salvador,1
BRA,España,1
BRA,Estados Unidos,1
BRA,Guatemala,1
BRA,Guyana,1
BRA,México,1
BRA,Panamá,1
BRA,Paraguay,1
BRA,Perú,1
BRA,República Dominicana,1
BRA,Uruguay,1
BRA,Venezuela,1
PAC,Alemania,0
PAC,Argentina,1
PAC,Brasil,1
PAC,Bélgica,0
PAC,Cabo Verde,0
PAC,Chile,1
PAC,Colombia,1
PAC,Costa Rica,1
PAC,Ecuador,1
PAC,El Salvador,1
PAC,España,1
PAC,Estados Unidos,1
PAC,Guatemala,0
PAC,Guyana,0
PAC,México,0
PAC,Panamá,1
PAC,Paraguay,1
PAC,Perú,1
PAC,República Dominicana,1
PAC,Uruguay,1
PAC,Venezuela,1
SUR,Alemania,1
SUR,Argentina,1
SUR,Brasil,1
SUR,Bélgica,1
SUR,Cabo Verde,1
SUR,Chile,1
SUR,Colombia,1
SUR,Costa Rica,1
SUR,Ecuador,1
SUR,El Salvador,1
SUR,España,1
SUR,Estados Unidos,1
SUR,Guatemala,1
SUR,Guyana,1
SUR,México,1
SUR,Panamá,1
SUR,Paraguay,1
SUR,Perú,1
SUR,República Dominicana,1
SUR,Uruguay,1
SUR,Venezuela,1
